audio,text,IPA,FailedWord
14,记住今天的快乐，明天继续前行。,tɕi˥˩ ʈʂu˥˩ tɕɪn˥˥ tʰjɛn˥˥ ti˥˩ kʰuaɪ˥˩ lɤ˥˩ ， mɪŋ˧˥ tʰjɛn˥˥ tɕi˥˩ ɕy˥˩ tɕʰjɛn˧˥ ɕɪŋ˧˥ 。,
15,努力工作，才能实现梦想。,nu˨˩˦ li˥˩ kʊŋ˥˥ tsuɔ˥˩ ， tsʰaɪ˧˥ nɤŋ˧˥ ʂɚ˧˥ ɕjɛn˥˩ mɤŋ˥˩ ɕjɑŋ˨˩˦ 。,
16,认真思考，找到解决问题的办法。,ʐən˥˩ ʈʂən˥˥ sɯ˥˥ kʰɑʊ˨˩˦ ， ʈʂɑʊ˨˩˦ tɑʊ˥˩ tɕjɛ˨˩˦ tɕɥœ˧˥ uən˥˩ tʰi˧˥ ti˥˩ pan˥˩ fa˨˩˦ 。,
17,珍惜每一天，活出精彩的人生。,ʈʂən˥˥ ɕi˥˥ meɪ˨˩˦ i˥˩ tʰjɛn˥˥ ， xuɔ˧˥ ʈʂʰu˥˥ tɕɪŋ˥˥ tsʰaɪ˨˩˦ ti˥˩ ʐən˧˥ ʂɤŋ˥˥ 。,
18,静静地看着夕阳，感受美好时光。,tɕɪŋ˥˩ tɕɪŋ˥˩ ti˥˩ kʰɑʊ˨˩ ʈʂʰɑŋ˥ ɕi˥˥ jɑŋ˧˥ ， kan˨˩˦ ʂoʊ˥˩ meɪ˨˩˦ xɑʊ˨˩˦ ʂɚ˧˥ kwɑŋ˥˥ 。,
19,梦想很美好，只要努力就能实现。,mɤŋ˥˩ ɕjɑŋ˨˩˦ xən˨˩˦ meɪ˨˩˦ xɑʊ˨˩˦ ， ʈʂɚ˨˩˦ jɑʊ˥˩ nu˨˩˦ li˥˩ tɕjoʊ˥˩ ŋ˥ ʂɚ˧˥ ɕjɛn˥˩ 。,
20,今天的天气真好，适合出门散步。,tɕɪn˥˥ tʰjɛn˥˥ ti˥˩ tʰjɛn˥˥ tɕʰi˥˩ ʈʂən˥˥ xɑʊ˨˩˦ ， ʂɚ˥˩ xɤ˧˥ ʈʂʰu˥˥ mən˧˥ san˥˩ pu˥˩ 。,
21,晨曦洒落，万物都焕发着生机。,ʈʂʰən˧˥ ɕi˥˥ sa˨˩˦ luɔ˥˩ ， wan˥˩ u˥˩ toʊ˥˥ xwan˥˩ fa˥˥ ʈʂɤ˧˥ ʂɤŋ˥˥ tɕi˥˥ 。,
22,他默默地阅读着，沉浸在书的海洋中。,tʰa˥˥ mɔ˥˩ mɔ˥˩ ti˥˩ ɥœ˥˩ tu˧˥ ʈʂɤ˧˥ ， ʈʂʰən˧˥ jɪn˨ tsaɪ˥˩ ʂu˥˥ ti˥˩ xaɪ˨˩˦ jɑŋ˧˥ ʈʂʊŋ˥˥ 。,
23,蓝天白云下，孩子们欢快地奔跑着。,lan˧˥ tmɪŋ˧˥ paɪ˧˥ yn˧˥ ɕja˥˩ ， xaɪ˧˥ tsɯ˧ mən˧ xwan˥˥ kʰuaɪ˥˩ ti˥˩ pən˥˥ pʰɑʊ˨˩˦ ʈʂɤ˧˥ 。,
24,咖啡的香气弥漫，温暖着我的心房。,kʰa˥˥ feɪ˥˥ ti˥˩ ɕjɑŋ˥˥ i˥˩ mi˧˥ man˥˩ ， uən˥˥ nwan˨˩˦ ʈʂɤ˧˥ uɔ˨˩˦ ti˥˩ ɕɪn˥˥ fɑŋ 。,
25,星星闪烁，仿佛在讲述古老的故事。,ɕɪŋ˥˥ ɕɪŋ˥˥ ʂan˨˩˦ ʂuɔ˥˩ ， fɑŋ˨˩˦ fu˧˥ tsaɪ˥˩ tɕjɑŋ˨˩˦ ʂu˥˩ ku˨˩˦ lɑʊ˨˩˦ ti˥˩ ku˥˩ ʂɚ˥˩ 。,
26,努力工作，才能实现自己的梦想。,nu˨˩˦ li˥˩ kʊŋ˥˥ tsuɔ˥˩ ， tsʰaɪ˧˥ nɤŋ˧˥ ʂɚ˧˥ ɕjɛn˥˩ tsɯ˥˩ tɕi˨˩˦ ti˥˩ mɤŋ˥˩ ɕjɑŋ˨˩˦ 。,
27,时间过得真快，转眼就进入了冬季。,ʂɚ˧˥ tɕjɛn˥˥ ɔ˨ tɤ˧˥ ʈʂən˥˥ kʰuaɪ˥˩ ， ʈʂwan˨˩˦ jɛn˨˩˦ tɕjoʊ˥˩ tɕɪn˥˩ ʐu˥˩ ɥœ˥˩ tʊŋ˥˥ tɕi˥˩ 。,
28,音乐的旋律，带他回到童年的记忆。,ɪn˥˥ ɥœ˥˩ ti˥˩ ɕɥœn˧˥ ly˥˩ ， taɪ˥˩ tʰa˥˥ xweɪ˧˥ tɑʊ˥˩ tʰʊŋ˧˥ njɛn˧˥ ti˥˩ tɕi˥˩ i˥˩ 。,
29,请保持微笑，生活充满阳光和希望。,tɕʰɪŋ˨˩˦ pɑʊ˨˩˦ ʈʂʰɚ˧˥ weɪ˥˥ ɕjɑʊ˥˩ ， ʂɤŋ˥˥ xuɔ˧˥ ʈʂʰʊŋ˥˥ man˨˩˦ jɑŋ˧˥ kwɑŋ˥˥ xɤ˧˥ ɕi˥˥ wɑŋ˥˩ 。,
30,昨夜的雨洗涤了城市的喧嚣。,tsuɔ˧˥ jɛ˥˩ ti˥˩ y˨ ɕi˨ ɥœ˥˩ ʈʂʰɤŋ˧˥ ʂɚ˥˩ ti˥˩ ɕɥœn˥˥ ɕjɑʊ˥˥ 。,
31,他渴望着能够去探索未知的世界。,tʰa˥˥ kʰɤ˨˩˦ wɑŋ˥˩ ʈʂɤ˧˥ nɤŋ˧˥ koʊ˥˩ tɕʰy˥˩ tʰan˥˩ suɔ˨˩˦ weɪ˥˩ ʈʂɚ˥˥ ti˥˩ ʂɚ˥˩ tɕjɛ˥˩ 。,
32,认真思考，才能找到解决问题的答案。,ʐən˥˩ ʈʂən˥˥ sɯ˥˥ kʰɑʊ˨˩˦ ， tsʰaɪ˧˥ nɤŋ˧˥ ʈʂɑʊ˨˩˦ tɑʊ˥˩ tɕjɛ˨˩˦ tɕɥœ˧˥ uən˥˩ tʰi˧˥ ti˥˩ ta˧˥ an˥˩ 。,
33,感受生活的美好，珍惜每一份幸福。,kan˨˩˦ ʂoʊ˥˩ ʂɤŋ˥˥ xuɔ˧˥ ti˥˩ meɪ˨˩˦ xɑʊ˨˩˦ ， ʈʂən˥˥ ɕi˧˥ meɪ˨˩˦ i˨ fən ɕɪŋ˥˩ fu˧˥ 。,
34,窗外传来鸟儿清脆的歌唱声。,ʈʂʰwɑŋ˥˥ ɪ˥˩ ʈʂʰwan˧˥ lai˨ njɑʊ˨˩˦ ɚ tɕʰɪŋ˥˥ tsʰweɪ˥˩ ti˥˩ kɤ˥˥ ʈʂʰɑŋ˥˩ ʂɤŋ˥˥ 。,
35,即使失败了，也要保持积极乐观的态度。,tɕi˧˥ ʂɚ˨˩˦ ʂɚ˥˥ paɪ˥˩ ɥœ˥˩ ， jɛ˨˩˦ ˥yao pɑʊ˨˩˦ ʈʂʰɚ˧˥ tɕi˥˥ tɕi˧˥ lɤ˥˩ kwan˥˥ ti˥˩ tʰaɪ˥˩ tu˥˩ 。,
36,他把所有的热情都投入到了创作中。,tʰa˥˥ pa˨˩˦ suɔ˨˩˦ joʊ˨˩˦ ti˥˩ ʐɤ˥˩ tɕʰɪŋ˧˥ toʊ˥˥ tʰoʊ˧˥ ʐu˥˩ tɑʊ˥˩ ɥœ˥˩ ʈʂʰwɑŋ˥˩ tsuɔ˥˩ ʈʂʊŋ˥˥ 。,
37,细雨如丝，滋润着大地的心田。,ɕi˥˩ y˨˩˦ ʐu˧˥ sɯ˥˥ ， tsɯ˥˥ ʐuən˥˩ ʈʂɤ˧˥ ta˥˩ ti˥˩ ti˥˩ ɕɪn˥˥ tʰjɛn˧˥ 。,
38,安静地坐下来，享受片刻的宁静。,an˥˥ tɕɪŋ˥˩ ti˥˩ tsuɔ˥˩ ɕja˥˩ lai˨ ， ɕjɑŋ˨˩˦ ʂoʊ˥˩ pi˨ kʰɤ˥˩ ti˥˩ nɪŋ˧˥ tɕɪŋ˥˩ 。,
39,成功需要勇气，更需要坚持不懈的努力。,ʈʂʰɤŋ˧˥ kʊŋ˥˥ ɕy˥˥ jɑʊ˥˩ jʊŋ˨˩˦ tɕʰi˥˩ ， kɤŋ˥˥ ɕy˥˥ jɑʊ˥˩ tɕjɛn˥˥ ʈʂʰɚ˧˥ pu˧˥ ɕjɛ˥˩ ti˥˩ nu˨˩˦ li˥˩ 。,
40,晚霞绚丽，为白日的喧嚣画上句点。,wan˨˩˦ ɕja˧˥ ɕɥœn˥˩ li˥˩ ， wɤ˨ paɪ˧˥ ʐɚ˥˩ ti˥˩ ɕɥœn˥˥ ɕjɑʊ˥˥ xwa˥˩ ʂɑŋ˥˩ tɕy˥˩ tjɛn˨˩˦ 。,
41,阳光洒落，温暖着窗边的书籍。,jɑŋ˧˥ kwɑŋ˥˥ sa˨˩˦ luɔ˥˩ ， uən˥˥ nwan˨˩˦ ʈʂɤ˧˥ ʈʂʰwɑŋ˥˥ pi˧ ti˥˩ ʂu˥˥ tɕi˧˥ 。,
42,城市夜空下，星光点点闪烁。,ʈʂʰɤŋ˧˥ ʂɚ˥˩ jɛ˥˩ kʰʊŋ˥˥ ɕja˥˩ ， ɕɪŋ˥˥ kwɑŋ˥˥ tjɛn˨˩˦ tjɛn˨˩˦ ʂan˨˩˦ ʂuɔ˥˩ 。,
43,咖啡的香气弥漫，让人心旷神怡。,kʰa˥˥ feɪ˥˥ ti˥˩ ɕjɑŋ˥˥ i˥˩ mi˧˥ man˥˩ ， ʐɑŋ˥˩ ʐən˧˥ ɕɪn˥˥ ʂən˧˥ 。,
44,孩子们的欢笑声，充满了童真。,xaɪ˧˥ tsɯ˧ mən˧ ti˥˩ xwan˥˥ ɕjɑʊ˥˩ ʂɤŋ˥˥ ， ʈʂʰʊŋ˥˥ man˨˩˦ ɥœ˥˩ tʰʊŋ˥ ʈʂən˥˥ 。,
45,秋风瑟瑟，落叶在空中飞舞。,tɕʰjoʊ˥˥ fɤŋ˥˥ sɤ˥˩ sɤ˥˩ ， lɑʊ˨ jɑ˥ tsaɪ˥˩ kʰʊŋ˨ tɕʰuŋ˥ feɪ˥˥ u˨˩˦ 。,
46,梦想的翅膀，需要勇敢的飞翔。,mɤŋ˥˩ ɕjɑŋ˨˩˦ ti˥˩ ʈʂʰɚ˥˩ ， ɕy˥˥ jɑʊ˥˩ jʊŋ˨˩˦ kan˨˩˦ ti˥˩ feɪ˥˥ 。,
47,旅途的风景，永远值得去探索。,ly˨˩˦ tʰu˧˥ ti˥˩ fɤŋ˥˥ tɕɪŋ˨˩˦ ， jʊŋ˨˩˦ ɥœn˨˩˦ ʈʂɚ˧˥ tɤ˧ tɕʰy˥˩ tʰan˥˩ suɔ˨˩˦ 。,
48,一本书，一个故事，无限的可能。,i˨ pən˨˩˦ ʂu˥˥ ， i˧˥ kɤ˧ ku˥˩ ʂɚ˥˩ ， u˧˥ ɕjɛn˥˩ ti˥˩ kɤ ŋ˥ 。,
49,沉默有时比语言更有效。,ʈʂʰən˧˥ mɔ˥˩ joʊ˨˩˦ ʂɚ˧˥ pi˨˩˦ y˨˩˦ jɛn˧˥ kɤŋ˥˥ joʊ˨˩˦ ɕjɑʊ˥˩ 。,
50,努力工作，创造属于自己的价值。,nu˨˩˦ li˥˩ kʊŋ˥˥ tsuɔ˥˩ ， ʈʂʰwɑŋ˥˩ tsɑʊ˥˩ ʂu˨˩˦ y˧˥ tsɯ˥˩ tɕi˨˩˦ ti˥˩ tɕja˥˩ ʈʂɚ˧˥ 。,
51,远方的亲人，永远是温暖的力量。,ɥœn˨˩˦ fɑŋ˥˥ ti˥˩ tɕʰɪn˥˥ ʐən˧˥ ， jʊŋ˨˩˦ ɥœn˨˩˦ ʂɚ˥˩ uən˥˥ nwan˨˩˦ ti˥˩ li˥˩ ljɑŋ˥˩ 。,
52,记住那些曾经的美好时光。,tɕi˥˩ ʈʂu˥˩ na˥˩ ɕjɛ˥˥ tsʰɤŋ˧˥ tɕɪŋ˥˥ ti˥˩ meɪ˨˩˦ xɑʊ˨˩˦ ʂɚ˧˥ kwɑŋ˥˥ 。,
53,每天进步一点点，积累成大成。,meɪ˨˩˦ tʰjɛn˥˥ tɕɪn˥˩ pu˥˩ i˥˩ tjɛn˨˩˦ tjɛn˨˩˦ ， tɕi˥˥ leɪ˨˩˦ ʈʂʰɤŋ˧˥ ta˥˩ ʈʂʰɤŋ˧˥ 。,
54,花开花落，皆是人生的风景。,xwa˥˥ kʰaɪ˥˥ xwa˥˥ luɔ˥˩ ， tɕjɛ˥˥ ʂɚ˥˩ ʐən˧˥ ʂɤŋ˥˥ ti˥˩ fɤŋ˥˥ tɕɪŋ˨˩˦ 。,
55,保持乐观，积极面对生活中的挑战。,pɑʊ˨˩˦ ʈʂʰɚ˧˥ lɤ˥˩ kwan˥˥ ， tɕi˥˥ tɕi˧˥ mjɛn˥˩ tweɪ˥˩ ʂɤŋ˥˥ xuɔ˧˥ ʈʂʊŋ˥˥ ti˥˩ tʰjɑʊ˨˩˦ ʈʂan˥˩ 。,
56,相信自己，你一定可以做到。,ɕjɑŋ˥˥ ɕɪn˥˩ tsɯ˥˩ tɕi˨˩˦ ， ni˨˩˦ i˧˥ tɪŋ˥˩ kʰɤ˨˩˦ i˨˩˦ tsuɔ˥˩ tɑʊ˥˩ 。,
57,认真思考，才能找到解决问题的方法。,ʐən˥˩ ʈʂən˥˥ sɯ˥˥ kʰɑʊ˨˩˦ ， tsʰaɪ˧˥ nɤŋ˧˥ ʈʂɑʊ˨˩˦ tɑʊ˥˩ tɕjɛ˨˩˦ tɕɥœ˧˥ uən˥˩ tʰi˧˥ ti˥˩ fɑŋ˥˥ fa˨˩˦ 。,
58,珍惜当下，活在每一天。,ʈʂən˥˥ ɕi˧˥ tɑŋ˥˥ ɕja˥˩ ， xuɔ˧˥ tsaɪ˥˩ meɪ˨˩˦ i˥˩ tʰjɛn˥˥ 。,
59,简单的快乐，才是最真实的幸福。,tɕjɛn˨˩˦ tan˥˥ ti˥˩ kʰuaɪ˥˩ lɤ˥˩ ， tsʰaɪ˧˥ ʂɚ˥˩ tsweɪ˥˩ ʈʂən˥˥ ʂɚ˧˥ ti˥˩ ɕɪŋ˥˩ fu˧˥ 。,
60,清晨的阳光，带来崭新的希望。,tɕʰɪŋ˥˥ ʈʂʰən˧˥ ti˥˩ jɑŋ˧˥ kwɑŋ˥˥ ， taɪ˥˩ laɪ˧˥ ʈʂan˨˩˦ ɕɪn˥˥ ti˥˩ ɕi˥˥ wɑŋ˥˩ 。,
61,雨后的空气格外清新，带着泥土的芬芳。,y˨˩˦ xoʊ˥˩ ti˥˩ kʰʊŋ˥˥ tɕʰi˥˩ kɤ˧˥ uaɪ˥˩ tɕʰɪŋ˥˥ ɕɪn˥˥ ， taɪ˥˩ ʈʂɤ˧˥ ni˧˥ tʰu˨˩˦ ti˥˩ fən˥˥ fɑŋ˥˥ 。,
62,他默默地坐在角落，沉浸在自己的世界里。,tʰa˥˥ mɔ˥˩ mɔ˥˩ ti˥˩ tsuɔ˥˩ tsaɪ˥˩ tɕjɑʊ˨˩˦ luɔ˥˩ ， ʈʂʰən˧˥ jɪn˨ tsaɪ˥˩ tsɯ˥˩ tɕi˨˩˦ ti˥˩ ʂɚ˥˩ tɕjɛ˥˩ li˨˩˦ 。,
63,孩子们欢快地奔跑，笑声在空中回荡。,xaɪ˧˥ tsɯ˧ mən˧ xwan˥˥ kʰuaɪ˥˩ ti˥˩ pən˥˥ pʰɑʊ˨˩˦ ， ɕjɑʊ˥˩ ʂɤŋ˥˥ tsaɪ˥˩ kʰʊŋ˨ tɕʰuŋ˥ xweɪ˧˥ tɑŋ˥˩ 。,
64,咖啡的香气，温暖了整个早晨。,kʰa˥˥ feɪ˥˥ ti˥˩ ɕjɑŋ˥˥ i˥˩ ， uən˥˥ nwan˨˩˦ ɥœ˥˩ ʈʂɤŋ˨˩˦ kɤ˥˩ tsɑʊ˨˩˦ ʈʂʰən˧ 。,
65,那是一幅充满希望的画作，色彩斑斓。,na˥˩ ʂɚ˥˩ i˥˩ fu˧˥ ʈʂʰʊŋ˥˥ man˨˩˦ ɕi˥˥ wɑŋ˥˩ ti˥˩ xwa˥˩ tsuɔ˥˩ ， sɤ˥˩ tsʰaɪ˨˩˦ pan˥˥ lan˧˥ 。,
66,我喜欢在夜晚，仰望星空，感受宁静。,uɔ˨˩˦ ɕi˨˩˦ xwan˧ tsaɪ˥˩ jɛ˥˩ wan˨˩˦ ， jɑŋ˨˩˦ wɑŋ˥˩ ɕɪŋ˥˥ kʰʊŋ˥ ， kan˨˩˦ ʂoʊ˥˩ nɪŋ˧˥ tɕɪŋ˥˩ 。,
67,时间总是过得很快，转瞬之间就是黄昏。,ʂɚ˧˥ tɕjɛn˥˥ tsʊŋ˨˩˦ ʂɚ˥˩ ɔ˨ tɤ˧˥ xən˨˩˦ kʰuaɪ˥˩ ， ʈʂwan˥˩ ʂuən˥˩ ʈʂɚ˥˥ jyɛn tɕjoʊ˥˩ ʂɚ˥˩ xwɑŋ˧˥ xuən˥˥ 。,
68,她用微笑，化解了所有尴尬和不安。,tʰa˥˥ jʊŋ˥˩ weɪ˥˥ ɕjɑʊ˥˩ ， xwa˥˩ tɕjɛ˨˩˦ ɥœ˥˩ suɔ˨˩˦ joʊ˨˩˦ kan˥˥ ka˥˩ xɤ˧˥ pu˥˩ an˥˥ 。,
69,这场比赛的结果，令人失望至极。,ʈʂɤ˥˥ ʈʂʰaŋ˥ pi˨˩˦ saɪ˥˩ ti˥˩ tɕjɛ˥˥ kuɔ˨˩˦ ， lɪŋ˥˩ ʐən˧˥ ʂɚ˥˥ wɑŋ˥˩ ʈʂɚ˥˩ tɕi˧˥ 。,
70,阳光洒在身上，暖洋洋的，真舒服。,jɑŋ˧˥ kwɑŋ˥˥ sa˨ tsaɪ˥˩ ʂən˥˥ ʂɑŋ˧ ， nau˨ jɑŋ˧˥ jɑŋ˧˥ ti˥˩ ， ʈʂən˥˥ ʂu˥˥ fu˧ 。,
71,我决定去旅行，看看外面的世界。,uɔ˨˩˦ tɕɥœ˧˥ tɪŋ˥˩ tɕʰy˥˩ ly˨˩˦ ɕɪŋ˧˥ ， kʰan˨ kʰan˨ uaɪ˥˩ mjɛn˥˩ ti˥˩ ʂɚ˥˩ tɕjɛ˥˩ 。,
72,书页翻动着，讲述着一个个动人的故事。,ʂu˥˥ jɛ˥˩ fan˥˥ tʊŋ˥˩ ʈʂɤ˧˥ ， tɕjɑŋ˨˩˦ ʂu˥˩ ʈʂɤ˧˥ i˨ kɤ˥˩ kɤ˥˩ tʊŋ˥˩ ʐən˧˥ ti˥˩ ku˥˩ ʂɚ˥˩ 。,
73,他认真地思考着，试图找到答案。,tʰa˥˥ ʐən˥˩ ʈʂən˥˥ ti˥˩ sɯ˥˥ kʰɑʊ˨˩˦ ʈʂɤ˧˥ ， ʂɚ˥˩ tʰu˧˥ ʈʂɑʊ˨˩˦ tɑʊ˥˩ ta˧˥ an˥˩ 。,
74,这片土地，承载着无数人的梦想与希望。,ʈʂɤ˥˥ pi˨ tʰu˨˩˦ ti˥˩ ， ʈʂʰɤŋ˧˥ tsaɪ˥˩ ʈʂɤ˧˥ u˧˥ ʂu˥˩ ʐən˧˥ ti˥˩ mɤŋ˥˩ ɕjɑŋ˨˩˦ y˨ ɕi˥˥ wɑŋ˥˩ 。,
75,音乐的旋律，触动了我的心灵深处。,ɪn˥˥ ɥœ˥˩ ti˥˩ ɕɥœn˧˥ ly˥˩ ， ʈʂʰu˥˩ tʊŋ˥˩ ɥœ˥˩ uɔ˨˩˦ ti˥˩ ɕɪn˥˥ lɪŋ˧˥ ʂən˥˥ ʈʂʰu˨˩˦ 。,
76,他收拾好行囊，准备出发去远方。,tʰa˥˥ ʂoʊ˥˥ ʂɚ˧ xɑʊ˨˩˦ ɕɪŋ˧˥ nɑŋ˧˥ ， ʈʂuən˨˩˦ peɪ˥˩ ʈʂʰu˥˥ fa˥˥ tɕʰy˥˩ ɥœn˨˩˦ fɑŋ˥˥ 。,
77,花儿绽放着美丽，迎接每一个阳光。,xwa˥˥ aɻ˧ fɑu˨ ʈʂɤ˧˥ meɪ˨˩˦ li˥˩ ， ɪŋ˧˥ tɕjɛ˥˥ meɪ˨˩˦ i˧˥ kɤ˧ jɑŋ˧˥ kwɑŋ˥˥ 。,
78,我渴望着改变，创造属于自己的未来。,uɔ˨˩˦ kʰɤ˨˩˦ wɑŋ˥˩ ʈʂɤ˧˥ kaɪ˨˩˦ pjɛn˥˩ ， ʈʂʰwɑŋ˥˩ tsɑʊ˥˩ ʂu˨˩˦ y˧˥ tsɯ˥˩ tɕi˨˩˦ ti˥˩ weɪ˥˩ laɪ˧˥ 。,
79,他凝视着远方，眼神中充满憧憬。,tʰa˥˥ nɪŋ˧˥ ʂɚ˥˩ ʈʂɤ˧˥ ɥœn˨˩˦ fɑŋ˥˥ ， jɛn˨˩˦ ʂən˧˥ ʈʂʊŋ˥˥ ʈʂʰʊŋ˥˥ man˨˩˦ ʈʂʰʊŋ˥˥ jɪŋ˥ 。,
80,窗外的风声，温柔地吹着我的脸庞。,ʈʂʰwɑŋ˥˥ ɪ˥˩ ti˥˩ fɤŋ˥˥ ʂɤŋ˥˥ ， uən˥˥ ʐoʊ˧˥ ti˥˩ ʈʂʰweɪ˥˥ ʈʂɤ˧˥ uɔ˨˩˦ ti˥˩ ljɛn˨˩˦ pʰɑŋ˧˥ 。,
81,阳光洒落，让房间变得温暖而舒适。,jɑŋ˧˥ kwɑŋ˥˥ sa˨˩˦ luɔ˥˩ ， ʐɑŋ˥˩ fɑŋ˧˥ tɕjɛn˥˥ pjɛn˥˩ tɤ˧˥ uən˥˥ nwan˨˩˦ ɚ ʂu˥˥ ʂɚ˥˩ 。,
82,他独自坐在河边，思绪万千。,tʰa˥˥ tu˧˥ tsɯ˥˩ tsuɔ˥˩ tsaɪ˥˩ xɤ˧˥ pi˧ ， sɯ˥˥ ɕy˥˩ wan˥˩ tɕʰjɛn˥˥ 。,
83,秋叶飘落，像是金色的精灵舞动。,tɕʰjoʊ˥˥ jɛ˥˩ luɔ˥˩ ， ɕjɑŋ˥˩ ʂɚ˥˩ jɪn˨˩ sɤ˧ ti˥˩ jɪŋ˥ lɪŋ˥ u˨˩˦ tʊŋ˥˩ 。,
84,孩子们在草地上欢快地奔跑着。,xaɪ˧˥ tsɯ˧ mən˧ tsaɪ˥˩ tsʰɑʊ˨˩˦ ti˥˩ ʂɑŋ˥˩ xwan˥˥ kʰuaɪ˥˩ ti˥˩ pən˥˥ pʰɑʊ˨˩˦ ʈʂɤ˧˥ 。,
85,咖啡的香气弥漫，带来一丝放松。,kʰa˥˥ feɪ˥˥ ti˥˩ ɕjɑŋ˥˥ i˥˩ mi˧˥ man˥˩ ， taɪ˥˩ laɪ˧˥ i˥˩ sɯ˥˥ fɑŋ˥˩ sʊŋ˥˥ 。,
86,星星在夜空中闪烁，点亮希望。,ɕɪŋ˥˥ ɕɪŋ˥˥ tsaɪ˥˩ jɛ˥˩ kʰʊŋ˥˥ ʈʂʊŋ˥˥ ʂan˨˩˦ ʂuɔ˥˩ ， tjɛn˨˩˦ ljɑŋ˥˩ ɕi˥˥ wɑŋ˥˩ 。,
87,时间过得真快，转眼已是秋天。,ʂɚ˧˥ tɕjɛn˥˥ ɔ˨ tɤ˧˥ ʈʂən˥˥ kʰuaɪ˥˩ ， ʈʂwan˨˩˦ jɛn˨˩˦ i˨˩˦ ʂɚ˥˩ tɕʰjoʊ˥˥ tʰjɛn˥˥ 。,
